rank,other_file_count,repo,mainLanguage,stars,forks,commits,contributors
1,25665,a5c-ai/babysitter,JavaScript,441,24,1028.0,10.0
2,12441,danielmiessler/Personal_AI_Infrastructure,TypeScript,9985,1401,575.0,24.0
3,1904,yonatangross/orchestkit,TypeScript,117,13,339.0,2.0
4,1664,DNYoussef/context-cascade,Python,22,6,238.0,1.0
5,1609,SimHacker/moollm,Python,34,4,2287.0,3.0
6,1458,laraxot/laravelpizza.com,PHP,26,22,505.0,2.0
7,1370,markuplint/markuplint,TypeScript,598,64,7712.0,48.0
8,884,htdt/godogen,Python,125,13,7.0,1.0
9,859,MetalLegBob/solana-vibes-kit,JavaScript,14,0,144.0,1.0
10,619,hainamchung/agent-assistant,Python,36,14,13.0,1.0
11,568,ancoleman/ai-design-components,Python,310,48,81.0,2.0
12,562,demozx/gf_cms,Go,92,37,397.0,2.0
13,562,careerhackeralex/visualize,JavaScript,54,12,124.0,1.0
14,438,LUNARTECH-X/superpowers,Python,11,2,9.0,2.0
15,432,williamzujkowski/standards,Python,13,0,176.0,2.0
16,423,jd-opensource/JoySafeter,Python,176,35,219.0,5.0
17,417,eddiebelaval/squire,Python,14,3,13.0,1.0
18,384,proffesor-for-testing/agentic-qe,TypeScript,250,48,1153.0,7.0
19,376,smallnest/langgraphgo,Go,209,34,328.0,10.0
20,365,CraftOS-dev/CraftBot,Python,55,5,494.0,4.0
21,359,ValidatorsDAO/slv,TypeScript,85,12,858.0,12.0
22,339,LdotJdot/OpenLum,JavaScript,26,5,8.0,1.0
23,327,pacphi/sindri,Rust,11,6,386.0,3.0
24,324,elophanto/EloPhanto,Python,34,5,277.0,3.0
25,315,openakita/openakita,Python,1219,150,1312.0,7.0
26,280,satsigner/satsigner,TypeScript,46,23,3992.0,19.0
27,271,nookprotocol/nookplot,TypeScript,12,0,3.0,1.0
28,258,netease-youdao/LobsterAI,TypeScript,3938,453,370.0,18.0
29,256,elbwalker/walkerOS,TypeScript,327,17,3490.0,12.0
30,243,undsky/RuoYi-SpringBoot3-Pro,Java,133,49,66.0,1.0
31,241,MiniMax-AI/Mini-Agent,Python,1844,278,54.0,12.0
32,241,openteams-lab/openteams,Rust,73,5,1781.0,53.0
33,231,pymc-labs/decision-hub,Python,37,3,449.0,6.0
34,228,kivo360/OmoiOS,Python,37,4,701.0,5.0
35,227,snyk/agent-scan,Python,1873,186,376.0,11.0
36,226,Mulily0513/Omni,Python,15,1,2.0,1.0
37,226,mikeOnBreeze/cc-crossbeam,Python,145,53,69.0,1.0
38,226,Yangchengshuai/Aerotri-Web,JavaScript,15,5,91.0,3.0
39,226,Xerus-ai/openwork,TypeScript,31,1,41.0,4.0
40,225,hirotaka/pragmatic-nuxt,TypeScript,159,14,725.0,4.0
41,224,ImGoodBai/goodable,TypeScript,161,34,130.0,3.0
42,213,6BNBN/FlowPilot,TypeScript,101,7,169.0,1.0
43,209,terrorproforma/GradientOS,Python,18,4,138.0,3.0
44,208,Kilo-Org/kilo-marketplace,Python,53,16,211.0,31.0
45,206,krafton-ai/KIRA,Python,712,97,121.0,9.0
46,202,TippingGame/F8FrameworkDemo,C#,38,10,155.0,1.0
47,202,TippingGame/F8Framework,C#,840,130,421.0,4.0
48,200,byteowlz/oqto,Rust,34,2,481.0,1.0
49,198,tutur3u/platform,TypeScript,48,25,14626.0,30.0
50,196,nirholas/agenti,TypeScript,42,12,182.0,4.0
